[train]
7JYX_3 1O65_1 6KYF_1 5HKO_1 5L8V_1 3TZT_1 4OZ7_1 5YIP_2 4ES7_1 1TA9_1 
5U4V_1 3UB1_1 5ZZ9_2 7PTB_1 4OWK_1 5J92_1 1Q0P_1 3NC3_1 2X4G_1 3DPJ_1 
2Z0Q_1 1PQZ_1 4GJ1_1 2QYF_2 3WIN_4 3FLE_1 1AVF_1 6ZW0_2 4YZE_1 3I9W_1 
2CIO_2 1HH9_3 4LK4_1 3GA9_2 3OQ4_1 1ZKO_1 1VYK_1 3IJP_1 5SZE_1 4FD4_1 
5C16_1 3ONA_2 1VYF_1 3UB3_1 2Y9X_2 7TAV_1 2JII_1 5JIP_1 5V8K_2 4HT1_1 
1H6X_1 6Z26_1 3DW8_2 4UUZ_3 4GEQ_3 1GPQ_1 3DLI_1 3ZDF_2 4WPE_1 2L49_1 
6V8I_7 3I4Q_1 6PSN_1 2YCB_1 4O3T_3 4YEP_1 6DHT_1 5EPP_2 3PRY_1 2ATM_1 
5OLM_1 2WIV_1 3AJ3_1 4MOZ_1 6ZTK_1 3KCP_1 6OCG_2 2QV6_1 1NSL_1 2NYU_1 
5ZLR_1 6KAG_1 3SOE_1 1H4L_2 1TJH_3 5N74_1 3KXY_2 2JBV_1 6QXA_1 5BY3_1 
2PCS_1 3MML_2 5UBA_1 6TJF_1 3VXC_1 2CZ2_1 1LKV_1 2YSW_1 2PKP_1 1MV5_1 
3TWO_1 3GEU_1 3T99_1 7ASD_2 1P9Z_1 7Q3S_1 1WLY_1 6IWB_1 3B40_1 6KXT_1 
1R4F_1 7W1C_1 3K8A_1 1WZD_1 3WSR_2 4PRL_1 2WB7_1 1BFX_1 3BBD_1 7M98_1 
3SX2_1 4EL6_1 7DRM_2 1TBD_1 2IA7_1 2QWT_1 4FBL_1 3MJO_1 3TRH_1 6J31_1 
3TB2_1 6J27_1 4V5E_37 4L08_1 2QML_1 3AOG_1 1YXH_1 3R0L_2 6IAI_1 2LNG_1 
5W4J_1 7V09_1 6T80_2 6O51_3 5M29_1 3CLM_1 7LCE_1 4NEC_1 3G8K_1 7OCN_1 
2VUG_1 3JYN_1 2DPQ_1 1DXJ_1 3Q9C_1 1L0O_1 3FMG_3 3O10_1 2CFV_1 5QST_1 
3H5L_1 6OOD_1 1VGJ_1 1OYV_2 6TSC_2 1O82_1 4JWO_1 6GZ9_1 5Z9O_1 4W8P_2 
5EC0_1 4WYB_2 3IS2_1 5JIR_1 6NYV_1 2IF4_1 5MB9_2 7FIP_1 4XPM_1 1C8N_1 
5HYT_1 3QHA_1 6D8J_1 3S2R_1 2B4M_1 1OFD_1 2QIH_1 4PJW_1 3N89_1 6V0O_3 
2IO7_1 7O39_1 3BO7_1 5EC3_1 7SKL_1 1T6F_1 3NAR_1 3NX1_1 4O8S_1 2OWO_4 
5H35_3 6YGA_3 1W2I_1 3TF7_3 1VZO_1 1ZXK_1 5NQV_1 4X36_1 4M33_1 6GW5_1 
1BLE_1 1NE2_1 4YNI_1 6OVB_1 4ICX_1 2E0N_1 4UX9_2 1BT6_2 6SR6_1 1R6X_1 
1T3B_1 3HV2_1 5B16_2 5KHA_1 5VYV_1 1O63_1 7DO5_1 4X5N_1 7RDH_3 7R7B_1 
1ZH8_1 3SP8_1 4Q5T_1 6J1Y_1 6JDK_1 5LAK_1 4FIP_3 4MCX_2 3WSO_2 1UY2_1 
2HJM_1 7F4A_2 6WMG_1 4BZ0_1 2PEH_2 6CYF_1 5HGV_2 3ISW_2 6JUI_1 6LEA_2 
3LN7_1 2FSQ_1 4J57_1 2KEF_1 6CCA_1 5O1S_1 4XZX_1 4CVH_1 6D3K_1 2Q1Z_1 
3B4V_2 4GCZ_1 1HZF_1 3LOQ_1 1XX1_1 4NXU_1 2KA0_1 4CNE_1 6U1D_1 3HGT_1 
7E1N_1 4C1R_1 6R82_1 4H89_1 3T57_1 6JEC_1 4GAJ_3 3GMD_1 6JDX_2 7CNZ_2 
3O4O_2 2XIO_1 6ULK_3 7O59_2 2RK5_1 7LCZ_1 2OCP_1 3KWL_1 5HU6_4 2FCO_1 
4ZGS_1 7F4E_2 2WWT_1 6VIE_3 7NZF_3 5ZE8_1 2X1J_1 3BXW_1 6QTM_2 4WTY_1 
3K8R_1 4C0D_1 6V1R_1 4TU3_2 3EIR_1 2P9M_1 6ZNL_1 4X34_2 6SE1_1 1SOJ_1 
7B3Y_1 3LEV_1 4KAX_2 1ED3_3 2AGK_1 6IOK_3 4D9G_1 6GZ8_1 6IO1_1 6IYG_1 
4KT1_2 6HH2_1 7QRX_1 3UCA_1 4EXJ_1 7S8S_3 4FCX_1 6QVP_1 7QFP_1 5ZBC_1 
1NP0_2 3L9T_1 7XFF_1 3I38_1 2RFM_1 2R39_1 3ZPY_1 4IAU_1 7SPS_1 3G7P_1 
5F9Q_1 7NM1_2 2DS2_1 3N4Q_1 4B1Z_2 5AIJ_1 3H0G_2 5AA5_2 5C4E_1 3X21_1 
6XC1_1 3EVZ_1 6TZN_1 3HZH_2 3CCF_1 7EA7_2 5Y4H_2 6DNZ_2 7DI3_1 1H4X_1 
4GXL_1 5VP5_1 5U4Q_1 4P6W_2 4H6R_1 4U0Q_1 4A7F_2 2P3W_1 5F17_1 2XRA_1 
7AWV_1 5D5K_2 4BPT_1 2HL7_1 2OGF_1 6Z4E_1 4N82_1 6DKU_1 2VSE_1 5VT8_1 
6JUE_2 2Q67_1 1RM6_2 2WHL_1 4O62_1 2WBY_3 3LGQ_1 6TV1_1 7D1B_1 2GDZ_1 
3T4R_1 3T0P_1 4TR9_2 4M7E_2 1IOD_3 1PA7_1 3ZXQ_1 1GMX_1 5XG3_2 6JIL_1 
3ROB_1 3QH8_1 3SMA_1 3ST7_1 3MHV_1 6R6U_1 6CQC_1 4WFC_2 3KKG_1 1TID_2 
6CPD_1 4GXB_2 6OCF_2 2HA9_1 6ZZX_15 5J0J_1 4G55_1 5U0J_1 4R3E_1 1HPT_1 
1OA8_1 3L76_1 6CH2_2 4O06_1 5ZU4_1 7K0X_1 3IP5_1 1NO5_1 6V0N_3 3MWG_1 
1YMY_1 4NNA_1 5FV4_1 7Q1E_4 1YTK_1 1PDP_1 3KOL_1 6KSI_1 1ZNP_1 4MPH_1 
1VRE_1 6E14_3 6DEG_1 3III_1 4ZFL_1 6M2A_1 4J5T_1 5X4S_1 3O7Q_1 3NY7_1 
4I7B_1 4CUZ_1 2P4P_1 4PBW_2 7V9H_1 4LGV_1 7E57_2 1GZ0_1 7T5H_1 6H9N_2 
4NZK_1 4UHS_1 7DS4_3 1SI5_1 2W3N_1 6NJY_1 5KIW_2 1Q1Z_1 2M7M_1 5FZO_2 
4RPF_1 5N8A_1 4CUG_2 6K5U_1 4KBG_1 7M52_1 4DCI_1 6X7Q_1 5X7V_1 6T85_1 
5WIR_1 4UAV_1 2GP6_1 4G68_3 4YO7_1 3H2B_1 4HRF_1 3F87_1 6M10_1 3OJC_1 
3EGI_1 2I0Z_1 2P6T_1 6LK0_1 3MFB_1 4YUR_1 4EJS_2 2PR0_1 4NE9_3 5J5V_2 
1GCU_1 6ED1_1 7E7M_1 4TNH_15 3BY7_1 3VFU_3 4AG0_1 6TBL_3 5IV8_2 1OHZ_1 
2I6X_1 6UDW_1 7B0O_1 7ENY_1 3RG8_1 4AWD_1 5B5W_1 2RD9_1 7U48_1 7BZZ_1 
6XID_3 7RG8_2 5BW9_5 7QDJ_1 6CY9_1 3KCN_1 7WZE_1 2GVI_1 4D94_1 2HDN_2 
4YN2_1 6CWC_1 2CNB_1 5AB0_2 1TFH_1 6JB6_2 6BWN_1 1W5T_1 2VJW_1 1L9Z_6 
6A4R_1 3S3T_1 5C3Q_1 2CTZ_1 5MTC_1 1AQE_1 3HRO_1 3GX8_1 4JDO_1 6SWF_1 
2GL7_1 6BFT_3 3HG9_1 1OZ7_2 7AGU_1 6GIW_1 5XUK_1 4DRA_2 4OH4_2 4HBS_1 
5XN8_1 3MLG_1 5AOH_1 7VES_1 5VZY_3 3PMI_1 6WA0_1 5TDE_1 7VWT_1 6EJ8_2 
4E5R_1 3WX6_1 3L8K_1 4ONE_1 4XU5_1 4QHT_1 1VZJ_2 4CQ5_1 6AW4_1 7ET0_2 
4WPX_1 1Y60_1 6SQ8_1 2W8Z_1 5VAQ_1 5K2Y_1 1R4B_1 3TX2_1 3RZX_2 6B5C_1 
5LBW_1 6JTD_1 4G73_1 1JFB_1 5VID_2 6EL4_1 3AU4_2 1YVL_1 6DDM_2 1MVL_1 
6FZJ_2 6TY0_1 1SZB_1 3IXW_1 1GHA_1 6EET_1 3MPO_1 4MJ5_3 6ULV_2 2AZN_1 
6YFV_1 4APX_2 2Q2T_4 6IP4_1 6UJ9_3 3V4D_1 5LQX_7 6P7A_1 1C56_1 6UEW_2 
7B3A_1 5N78_1 2OOJ_1 6FPD_1 7KWD_1 5U02_1 6SAN_1 1ZGR_1 3HEF_1 2JAK_1 
5HYW_1 1L1F_1 4C1N_3 4Z04_1 3VUR_1 5W4A_1 5CB0_1 5LBK_1 3FG1_1 3WUY_1 
7EQZ_1 6D83_3 4LRV_1 4PH1_1 7CBZ_3 6AZH_1 6N2U_1 1W03_1 4FC7_1 1RCU_1 
4E5V_1 2OVS_1 1YA0_1 2GAX_1 4PMK_1 5L9S_1 5WY1_1 4GGA_1 1E1H_2 1TIE_1 
4NE9_2 7AZX_2 3C1M_1 6XF1_1 3P3P_2 4ILK_1 1Y6Z_1 1VKC_1 5LUP_1 3I45_1 
3GEK_1 7N0E_2 6Y9T_1 6PTM_1 3M72_1 6V81_1 5N4E_2 5JQP_2 5ONO_1 2AHB_1 
1RTT_1 2WK4_1 3W9P_1 5KSB_5 7F0A_1 3PIS_1 5OGK_1 5U5B_1 4YCI_1 3GDH_1 
2RJO_1 2EB0_1 2BE1_1 3PS0_1 2WVR_2 2J3W_1 2VYW_1 2GAA_1 2HIH_1 1RLV_1 
3WVS_1 3GD5_1 2JIH_1 3D7U_1 5EP9_1 3QOO_1 6HUN_1 3PT5_1 3PUB_1 5V30_1 
5M7R_1 5CFF_1 3Q1D_1 2J7A_2 2QGM_1 4JB3_1 1H4K_1 3VTN_1 2HDW_1 5A9S_1 
5VZW_3 7MMP_2 5Y0Z_1 6ANS_1 6QHL_2 4B36_1 3BFV_1 4PBY_2 3K7G_1 2AJR_1 
3D7C_1 2VJ2_1 6RAD_1 6ZXS_7 1YBY_1 3KT9_1 6FQB_1 4G9A_1 5DMA_1 1LCJ_2 
3B5P_1 7QYX_1 6JLC_1 4FMR_1 3HZP_1 6INB_1 4XM4_1 4TQU_4 1LSH_1 5INT_1 
3KMV_1 6I5O_1 2GL0_1 2XN5_2 2LPU_1 4KEM_1 2VA8_1 5ELU_1 6AO9_1 1W3Y_1 
6UE4_1 6VSK_1 6LJB_1 1SGV_1 7KUG_1 6IOZ_1 4EXQ_1 2GFQ_1 1JUD_1 4NN5_1 
6QLH_1 2KXL_1 6O2K_1 1YS7_1 2FSJ_1 5CMO_1 6F3T_2 6Q64_1 3A9L_1 1U60_1 
4ZK0_1 4UOP_1 4YKI_1 6H65_1 7V2B_1 6AO5_1 6WYS_1 4KSA_1 5EVJ_1 7RAH_5 
5NFK_1 4PN1_1 6XVP_1 2HJP_1 6ESX_1 4WV4_1 6GBS_1 4FDX_1 4BQZ_1 3ZSC_1 
3IU3_3 7OMM_4 6AHD_35 3FTB_1 7XKC_1 1AK5_1 5W8Z_1 3EB9_1 4WJL_1 5VPW_2 
6TJB_1 5WFB_1 4CHD_1 4U9S_1 2GUZ_2 3P7H_1 3M1T_1 7D9V_2 3ZJ5_1 1PWW_2 
7BCZ_1 4L8J_1 5H3K_1 7NFU_1 5I2T_1 7DYM_2 2AFP_1 4IV5_1 1DBW_1 2PTF_1 
5KG8_1 1SEZ_1 2NSA_1 4R7A_1 3HCT_1 4YMD_1 5UZU_1 3MMH_1 6WYP_1 7NAZ_1 
1XBN_1 5TCD_1 1HJR_1 5XTT_1 6V45_1 4QO6_1 4IYP_2 2HR2_1 7AEX_1 2QC3_1 
5J28_2 4PAF_1 1MJH_1 4D9O_1 7MFM_1 1HRZ_3 1VJL_1 5OKZ_8 4CLC_2 4N5T_2 
6IYB_2 6SM4_1 3BB7_1 6EGN_1 5JP5_1 1FIW_2 7CWD_1 4IIQ_3 4JOE_2 4KG3_1 
6IUQ_1 5LHA_1 3BJV_1 5L0W_2 4P47_1 2Q1F_1 2WAA_1 3L8Q_1 3CTZ_1 7O9P_1 
3KA7_1 4ODB_2 5CL4_1 4FVS_1 1X7R_2 1NJH_1 5F1N_2 4LX2_2 2VY0_1 4N0I_3 
6TL8_1 6UUK_1 1WRA_1 3L22_1 4D7L_1 2QYZ_1 4Y7I_1 6T40_1 5IF0_3 4EOY_1 
4HW4_2 7KWC_1 6A52_1 2R41_1 2O2F_1 3U0J_1 5TQZ_1 5W7L_1 2FX9_3 5FN7_1 
1B6S_1 4PVG_1 2D1H_1 7B2G_1 5ET0_2 5FW5_2 3L6I_1 6DAW_1 2BE9_2 6HQC_1 
4WSL_1 3M1E_1 1TAB_2 6F6D_2 6JU6_1 4ZOX_1 1T5C_1 1YLM_1 3DYJ_1 6KFS_1 
6I5N_4 6MM5_2 6XFL_1 3ZCO_1 5NPT_1 5NTK_1 4QRG_1 6WB5_1 2JJD_1 3H16_1 
2A7W_1 2ESR_1 7JUK_1 4G9F_3 7P0X_1 6P59_4 5H77_1 2J3V_1 1B7Y_2 1QPN_1 
3I6U_1 5D2F_1 2O9V_2 6R5G_1 5KEN_1 6I2X_3 3QWX_1 6B96_1 1XDY_1 4QJR_2 
2ZZJ_1 5KHS_1 4LKU_1 6RPT_1 4QMJ_1 6CHJ_1 2OI2_1 2KOH_1 1HM9_1 5NHK_1 
1S2M_1 6T9R_1 1XQI_1 2ID5_1 2BMC_1 2NMR_1 6HJW_1 2D7C_2 6PSD_1 7AU7_1 
6T84_1 7CV2_1 5SVB_2 6VR7_1 2OUM_1 3MZY_1 1TXG_1 3PIM_1 2J3R_2 4O2Z_1 
7V8E_1 4GXZ_1 1FUK_1 1Y0V_1 2Z84_1 6I21_1 6GQF_1 3T2N_1 3GOZ_1 1YE8_1 
5K3Q_1 2M2I_1 4OWT_2 3LRA_1 2PKO_1 5ZL1_1 2B1X_1 4LB8_1 6Q8O_9 4I9X_1 
5UFV_1 2Z4S_1 2H0E_1 6J7U_1 6NK8_1 6FGX_1 4EC6_1 5JCT_1 5EHF_1 6XW2_1 
2O08_1 7DQX_4 4CGB_1 1OMX_1 2CVE_1 5HWE_1 3P03_1 4MHV_1 6KXH_1 5A4P_1 
4C76_1 4IGJ_1 7JG2_2 2B2A_1 2LEX_1 4BEI_1 1RLK_1 5WE1_2 1VEF_1 3RH0_1 
3K12_1 3HJ4_1 4N78_5 5T48_2 5DD8_1 4HWF_1 3LFJ_1 7NJL_5 7NRA_1 6ND8_3 
2IUN_1 3C75_2 1QBB_1 1YYV_1 4DJK_1 2XAT_1 6ASR_2 5TUG_2 5MXC_1 4AEQ_1 
2ZWI_1 6EKT_1 5H42_1 4ESR_1 2Z2R_1 1HZ5_1 2HL3_1 3LQY_1 6N5W_1 6UMT_2 
1RVV_1 3B1S_2 7QU2_3 5ETA_2 3DUG_1 1K75_1 3R9G_1 4EO0_1 1VYC_1 4BGO_1 
5DTC_1 3EXR_1 5FIR_2 7CNB_1 1HYH_1 2KGG_1 5ABS_1 3HL3_1 4J2Y_1 5GHA_2 
6UD7_3 3IHP_1 3GYB_1 2OO3_1 1WHZ_1 4PSQ_1 6VNA_1 3AY8_1 3IU6_1 3G1W_1 
2NRT_1 4MTJ_1 3BJD_1 3GEG_1 6UV0_1 1NLQ_1 2VCF_1 1A6J_1 1TB6_1 7ZGR_3 
4HPQ_1 6L5K_2 3PTY_1 6QTR_2 3STP_1 7O3S_2 6LVW_1 6P28_1 5K52_1 4UFQ_1 
3BCT_1 4M7O_1 4MXR_1 4X9T_1 6RLX_2 1NOZ_1 5ZF1_1 3IIS_1 2OQ1_2 4FMW_1 
7LW7_1 3BKV_1 7D73_2 4HGP_1 3V56_2 5G5N_1 3KP2_1 2FGE_1 3IF2_1 5ZRX_1 
2E3U_1 3G9G_1 1LM7_1 3UFM_1 4HWN_1 3BWX_1 4IB5_2 2QF9_1 2L1B_2 3ZUK_1 
3ABH_1 6KND_1 4PAV_1 7TVY_1 1KJN_1 3HLU_1 3UVN_2 1ZFN_1 3UTN_1 4O65_1 
4CVM_1 7MGM_1 5N48_2 5Y8M_1 4OI4_1 1ZZW_1 6SAX_1 3HE1_1 6JKW_1 1XJQ_1 
6MSO_1 3PSQ_1 3ICX_1 2A11_1 4ZUZ_1 2RBB_1 6UK1_1 2P10_1 5H5L_1 6QTT_2 
3GWL_1 2FYM_2 2AUK_1 4DIX_1 5A8S_1 2FFG_1 5NCU_2 7RHE_1 3ONM_1 6JCM_1 
1FMB_1 6LAA_1 4ZEW_1 1FPO_1 6K5X_1 4OBK_2 3LFV_1 3RHE_1 6KPD_2 6W3H_2 
2V4A_1 4DM5_1 1J57_1 2RSV_1 3PU6_1 3EQ2_1 2NPN_1 3GYU_1 5J5V_3 6Q0R_2 
2O94_1 1ZDR_1 3VU7_1 4DVH_1 2JD3_1 3DL9_1 5L0L_1 5A5A_1 4OBH_2 6TWK_1 
1YU4_1 6T1U_1 5TB8_1 6BLK_1 5OEC_1 5LZ1_1 2E7V_1 6WIM_1 6NU9_1 5T5D_1 
2OX1_1 2MO5_1 3EFH_1 5V35_1 4UOS_1 5ZC2_1 3K4I_1 6OZB_1 3IKB_1 3T4J_1 
3PQ1_1 5Z38_3 3VSG_1 3NV7_1 1P2X_1 3R1O_1 3BS1_3 2QV5_1 2ODV_1 3AT0_2 
7VPH_2 7AC0_1 2DYJ_1 7B7J_1 1UM8_1 3KV0_1 3UAQ_1 6AGS_1 1H6K_2 2WE9_1 
6GYT_1 5NOD_1 5U6A_5 5Y33_1 5YSZ_1 4UAR_1 1WDU_1 6O43_1 3IB6_1 4NF0_1 
3DOA_1 3DZZ_1 3N91_1 2EXU_1 3IJ3_1 3D8A_1 5A3Y_1 6ZHI_1 7R6O_1 5JVG_22 
6ZK7_1 2IP6_1 1N1J_2 3O7A_2 5CJE_1 4ABX_1 3FO8_1 7KV4_1 5LLJ_1 4L68_1 
5BNT_1 3MBG_1 3IQT_1 2RST_1 3GFX_1 1M44_1 2WZT_1 5ZX1_1 7SLP_1 5I99_1 
3M6M_2 3ADR_1 2Y4U_1 5CWN_1 7TEM_1 5ZI6_1 1OFW_1 4J3H_1 6SYM_1 4BE3_1 
5J4D_35 3IXT_3 5TWH_2 3C0R_1 4YFG_1 7MEX_2 3C4A_1 3FDI_1 6H67_7 5A9F_1 
4DS1_2 6Y2D_1 4JOF_2 3D1L_1 2G8L_1 5FK9_3 2Y9J_1 3I8E_2 6AA8_1 6FKC_1 
5D0R_1 1AG9_1 3LGG_1 5J2L_1 1CHM_1 4O0K_1 4BMX_1 7NZ6_2 6HDW_1 5I84_1 
2DST_1 6SRB_1 5Z8N_1 5CM2_2 7EIO_1 6KMH_2 5TPR_1 7EWS_1 4R12_1 7JL5_1 
1N3N_3 3AFG_1 6B8Q_1 6N0B_1 4U1D_1 5B2R_2 4ZEL_1 4KC3_2 5KLT_2 3W3J_1 
4Y68_1 3S81_1 3VM7_1 4D6W_1 5YPR_1 4JOI_1 1OOE_1 1YDF_1 2ICS_1 6O5W_1 
3G6P_3 4NZL_2 3GMI_1 7UBU_2 5HKQ_2 6AEF_1 3IWA_1 2AF4_1 2FBL_1 2FLK_2 
1OFT_1 2W73_2 3BTP_1 4AMS_1 5B1I_1 1AFI_1 3P8C_1 1K66_1 3B7P_1 6K2O_1 
3MY2_1 4N1A_1 3QV0_1 3N0Y_1 4ATN_1 4I05_1 5U89_2 4ABM_1 5FR2_2 4WAE_1 
1SRU_1 3FFR_1 2OZG_1 3O5A_2 3L3X_2 4XS7_1 5FV8_1 4OX7_1 6GAO_1 1G5G_1 
1XD7_1 3IRA_1 1HLB_1 2DCT_1 3H7H_2 4N0O_1 4E8H_1 4ESN_1 4F71_1 3ACZ_1 
4ON0_1 2NZI_1 5VAP_1 7S0N_1 3DD7_2 2ZR1_1 5ENB_1 6HRD_1 6GNF_1 3P2U_1 
7F2R_2 4RUQ_1 3R8J_1 5XKX_1 6QB8_4 6WGN_2 7E15_1 2G9W_1 3OS6_1 3HB3_2 
3OI7_1 6I1M_1 3OPY_2 4DGW_2 3B09_1 4AZ8_1 4NAW_3 6FGP_2 3F1I_1 2H1N_1 
4LZF_2 3TZ0_1 4USL_2 3PF2_1 4Q48_1 2WC9_1 3QJ9_1 3FID_1 1UNF_1 5U2L_1 
4K0U_1 4OYK_2 7AZW_1 6VVN_1 6TGF_1 7S94_1 6N2B_1 3QXL_1 6J6A_1 2RFL_1 
1S29_1 2H53_1 2GZQ_1 4AMU_1 6DRQ_1 7OJ4_1 2HWN_2 4HVQ_1 6SXR_1 6HIH_1 
1TK9_1 3UEJ_1 4R74_1 3N9U_2 6YBQ_1 1TYG_1 2DI3_1 4Y2F_1 4NWQ_2 7E15_3 
6XJ6_1 7RH8_1 1A04_1 5N05_1 3RKL_1 3K0Y_1 6B86_1 4D0N_2 6YJI_1 7RWS_1 
4P7U_1 6YRN_1 3DNP_1 6C5W_1 6CHD_1 6H4K_1 6KZJ_2 3OP1_1 4XGJ_1 3R4C_1 
5JB3_35 4YII_1 4OX8_1 5VUG_1 5FRT_1 7CWW_1 6EXT_1 2PSS_1 4PS6_1 4L6V_7 
4FYB_1 6U8J_1 1P4X_1 3EUP_1 3EB6_1 2VNE_1 3Q3N_4 2F4W_1 5M09_1 1M38_1 
6YP1_1 4FLV_1 5FA4_3 2A1T_1 2KBE_1 4X0S_1 2RCD_1 2FB6_1 1YRL_1 6UCZ_1 
2P5Y_1 6G42_1 5ZT0_2 6TJ6_1 2AAL_1 2GMY_1 2OQP_1 1XCL_1 5C88_1 4TXV_2 
5D1O_1 2Y0N_1 2QRU_1 7ALQ_2 4KT3_2 5GRA_1 5IKF_2 1DTP_1 2O1S_1 4TZH_1 
2WQ4_1 3NY5_1 3UWS_1 3FFV_1 3CTA_1 6T5F_2 4S38_1 5YRZ_1 3BT3_1 2F1D_1 
5TH5_1 7VO5_1 1VMG_1 1CKK_2 3PWZ_1 5SV3_2 6Q2F_1 6D29_3 4BY6_2 3OV5_1 
1H20_1 1YUZ_1 4M1X_1 5UN7_2 2WB3_1 1JWY_1 3EMO_1 7ME5_1 1SNG_1 7AE7_2 
6RFG_1 3MES_1 4DNF_1 3PZJ_1 5LM5_2 5AE2_1 5DPW_2 4X7N_1 3ISR_1 4RLY_1 
5WCO_1 3G7C_1 2GF4_1 3NDR_1 2M3G_1 1TZ6_1 3V3B_2 6AKM_2 2RHK_2 3B4S_1 
2ERW_1 7D7P_1 5LY8_1 3PBI_1 5JJZ_2 7D8D_1 4IM7_1 7O79_1 3E38_1 5Z1V_1 
6Y1W_1 3LWG_1 7DHB_1 4XGU_1 1QZ4_1 3KEO_1 3PRA_1 4QNH_1 6BIM_1 2DKN_1 
5KO4_1 4LIZ_1 4RD8_1 6XNS_1 1GAK_1 5W3R_1 1FWE_3 7OYA_36 4MN8_3 5X11_3 
3EJ9_1 6Y3P_1 3K1Z_1 1E2A_1 2LUI_1 3HKJ_3 6Y4D_1 2FLH_1 3N96_2 7MWC_1 
6F4Q_2 4WJG_3 1VAK_1 1ZD1_1 4H7L_1 5C2U_2 2GJN_1 3TSV_1 3KE7_1 7BN9_1 
3QQ6_1 4N7V_1 7SEZ_1 2VQA_1 5VVK_1 3EP0_1 2W61_1 5CQF_1 3AWD_1 5JQL_1 
2R2D_1 1MXD_1 5XD0_1 3GG4_1 1Z9W_1 6AZD_1 2BB2_1 2WTZ_1 6QPA_1 2WY4_1 
6YLZ_1 7E40_2 7MVW_1 7DVR_1 2YWJ_1 2P9K_1 1G28_1 2D45_2 6X9L_1 2A61_1 
5UFS_2 7CDV_1 5NJL_1 6Z8H_1 2I7H_1 3S6J_1 4PSP_1 4ECO_1 4OAZ_1 2PH5_1 
1XK5_1 4FX4_2 6KIH_1 3BCW_1 3X2E_1 3MTQ_1 5NX3_3 3CW8_1 4YPA_1 3OUK_1 
6AIG_1 6WG2_3 4WY4_2 6XYL_1 3WOF_1 2BIH_1 5XD6_1 6PER_1 1AP0_1 1UN2_1 
1ELQ_1 2IUS_1 6MZO_1 2Y1B_1 6BBT_1 4EUT_1 4MLY_1 3HR5_3 6XUB_1 6F7J_2 
4V2O_1 3HDT_1 2WTK_2 6K1T_1 4Q2M_1 5DFT_1 1PBJ_1 4U5I_1 1Z6O_1 4OBX_1 
7EGS_2 2QG8_1 5B7W_1 5LXU_1 4NIY_2 4NDL_1 3O6P_1 6HH9_1 6DKJ_3 1R94_1 
6FMG_1 2VN5_1 6UGD_1 1MQS_2 5VWS_1 4M0X_1 4O6K_1 5IIQ_1 7MSU_1 1TLG_1 
6N45_1 7RDT_1 4NM9_1 6GOS_3 3G0Z_1 6IXQ_1 5GIS_3 3BVC_1 1KQ0_1 3LP8_1 
2BBP_1 2WG6_1 6ATY_1 5E76_1 6LN4_2 2Y90_1 2ZYQ_1 4LGQ_1 3H5J_1 4QUF_1 
2IQI_1 1Q1S_1 4N4F_2 2I4S_1 2ZOP_1 1OAE_1 2IGP_1 3EN9_1 2JZ2_1 4ZU4_1 
1ZW2_2 4XUK_1 5JTI_1 4RVQ_1 7KMW_1 7OKP_2 2J3S_1 7K2B_2 3ZK0_1 3SP6_2 
3VTJ_1 5T1Q_1 4AT7_1 4LQY_1 3D5L_1 1T3L_2 2QSK_1 3M7V_1 2IYK_1 5XTN_1 
3EWT_2 6LGH_1 4DVG_2 6DY3_2 4LUN_1 2Y51_1 7ROL_1 5M0X_1 4AKR_1 4OGA_6 
5XXQ_2 6J07_1 4DJB_1 3EHE_1 4GWN_1 3HKZ_12 1IK4_1 3KNU_1 5ZT3_1 5OW5_3 
5J68_1 3NJV_1 6JJT_1 2XFG_2 3ZIN_2 5VXN_1 7W2T_1 6GRH_1 3KQG_1 2QTX_1 
6JIG_1 3KNZ_1 3VF1_1 3PS5_1 5CK3_1 2OG5_1 6QSR_1 6III_1 4D5A_1 4OLI_1 
6SEQ_1 5MU3_4 7RPS_1 4X3E_2 6EC3_1 3D9L_2 4NV8_1 6YAR_1 4PAC_1 7L7X_1 
6LAF_1 4J3O_1 3V4A_2 1XZQ_2 2F0Z_1 5MQO_1 4XRB_1 5ZBB_2 2DVM_1 3VA8_1 
2XLC_1 1LTX_1 3OU2_1 5XNS_1 3BKP_1 6BY9_1 7KDF_3 4B5C_1 2JNJ_1 5MWP_1 
3C9R_1 2EGU_1 6G7X_1 2OM6_1 3WCU_1 5CEA_1 6A77_1 3R7W_2 3ELG_1 3OL4_1 
7AVK_1 2NQL_1 5JCD_1 4HED_1 3P1U_1 3DEU_1 2AQ9_2 3FIQ_1 6IAU_1 5WHM_1 
6FAH_1 3MZK_2 2IY5_1 5J97_1 5KGN_2 7AL6_1 5Z2E_1 5IZ4_1 2WAM_1 2PYB_1 
5UWQ_4 6K31_1 2JGP_1 2P2R_2 2EJ8_1 2CH4_1 6LUP_2 2IPL_1 7OQS_2 4DOW_1 
6ZZZ_1 2MSQ_1 5O9J_1 6ZDM_2 4CNS_1 7EB9_1 6YLI_2 2HEV_2 3H3M_1 5CFF_2 
3TFO_1 3BJ5_1 3QD9_1 6Y17_1 4N21_1 4L0O_1 1MAV_1 5DN5_1 2GCA_1 4I61_1 
1H8E_4 6KFU_1 1JL4_3 6YXK_3 7KFL_1 5X20_1 5OOB_3 6J6X_1 3ECH_1 6F8G_2 
